Airport,City,State / UT,IATA Code
Indira Gandhi International Airport Delhi Airport,Delhi NCR,Delhi,DEL
Chattrapathi Shivaji International Airport,Mumbai (Bombay),Maharashtra,BOM
Kempegowda International Airport Bengaluru,Bengaluru (Bangalore),Karnataka,BLR
Rajiv Gandhi International Airport GMR Hyderabad,Hyderabad,Telangana,HYD
Chennai International Airport Meenambarkkam,Chennai (Madras),Tamil Nadu,MAA
Netaji Subhash Chandra Bose International Airport,Kolkata (Calcutta),West Bengal,CCU
Ahmedabad International Airport Sardar Vallabhbhai Patel,Ahmedabad,Gujarat,AMD
Cochin International Airport,Kochi (Cochin),Kerala,COK
Dabolim Airport,Dabolim,Goa,GOI
Pune Airport,Pune,Maharashtra,PNQ
Chaudhary Charan Singh International Airport,Lucknow,Uttar Pradesh,LKO
Lokpriya Gopinath Bordoloi International Airport,Guwahati,Assam,GAU
Jaipur International Airport,Jaipur,Rajasthan,JAI
Srinagar International Airport,Srinagar,Jammu and Kashmir,SXR
Jay Prakash Narayan Airport,Patna,Bihar,PAT
Chandigarh Airport,Chandigarh,Chandigarh,IXC
Biju Patnaik International Airport,Bhubaneswar,Odisha,BBI
Trivandrum International Airport,Thiruvananthapuram,Kerala,TRV
Calicut International Airport,Kozhikode,Kerala,CCJ
Devi Ahilyabai Holkar International Airport,Indore,Madhya Pradesh,IDR
Dr. Babasaheb Ambedkar International Airport,Nagpur,Maharashtra,NAG
Coimbatore International Airport,Coimbatore,Tamil Nadu,CJB
Bagdogra International Airport,Siliguri,West Bengal,IXB
Lal Bahadur Shastri International Airport,Varanasi,Uttar Pradesh,VNS
Sri Guru Ram Dass Jee International Airport,Amritsar,Punjab,ATQ
Visakhapatnam International Airport,Visakhapatnam,Andhra Pradesh,VTZ
Birsa Munda Airport,Ranchi,Jharkhand,IXR
Swami Vivekananda Airport,Raipur,Chhattisgarh,RPR
Mangalore International Airport,Mangalore,Karnataka,IXE
Jolly Grant Airport,Dehradun,Uttarakhand,DED
Jammu Airport,Jammu,Jammu and Kashmir,IXJ
Tiruchirappalli International Airport,Tiruchirappalli,Tamil Nadu,TRZ
Maharaja Bir Bikram Airport,Agartala,Tripura,IXA
Maharana Pratap Airport,Udaipur,Rajasthan,UDR
Veer Savarkar Airport,Port Blair,Andaman and Nicobar,IXZ
Leh Kushok Bakula Rimpochee Airport,Leh,Ladakh,IXL
Kannur International Airport,Kannur,Kerala,CNN
Surat International Airport,Surat,Gujarat,STV
Imphal Airport,Imphal,Manipur,IMF
Madurai Airport,Madurai,Tamil Nadu,IXM
Bhopal Airport,Bhopal,Madhya Pradesh,BHO
Vadodara Airport,Vadodara,Gujarat,BDQ
Vijayawada International Airport,Vijayawada,Andhra Pradesh,VGA
Tirupati Airport,Tirupati,Andhra Pradesh,TIR
Jodhpur Airport,Jodhpur,Rajasthan,JDH
Rajkot Airport,Rajkot,Gujarat,RAJ
Shirdi Airport,Shirdi,Maharashtra,SAG
Gorakhpur Airport,Gorakhpur,Uttar Pradesh,GOP
Dibrugarh Airport,Dibrugarh,Assam,DIB
Manohar International Airport,Mopa,Goa,GOX
